slug,title,category,tags,summary,col_labels,compare_rows,article_title,article_lead,exam_points,common_mistakes,memory_tip,related_terms,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer
koshu-otsu-hei-hikaku,甲種・乙種・丙種の取扱範囲の違い,法令・制度,甲種;乙種;丙種;免状,危険物取扱者免状3種類の取扱できる危険物の範囲と受験資格の違いを、乙4試験で問われる観点で整理します。,甲種;乙種;丙種,"[{""axis"": ""取扱範囲"", ""cols"": [""すべての種類の危険物（第1〜6類等）"", ""第1〜6類のうち受験した類（乙4は第4類引火性液体）"", ""乙種第4類のうち指定された危険物（引火性液体の一部）のみ""]}, {""axis"": ""受験資格"", ""cols"": [""実務経験等の受験資格が必要"", ""受験資格不要（どなたでも受験可）"", ""受験資格不要""]}, {""axis"": ""試験手数料（目安）"", ""cols"": [""7,200円（消費税非課税・公式要項で確認）"", ""5,300円（乙種共通・公式要項で確認）"", ""4,200円（公式要項で確認）""]}, {""axis"": ""乙4受験者の位置づけ"", ""cols"": [""上位資格。乙4だけでは取得しない"", ""ガソリン等の第4類を扱う現場資格として最多"", ""指定品目に限定。乙4より狭い""]}, {""axis"": ""試験での見分け"", ""cols"": [""「全類」「実務経験」「7,200円」のキーワード"", ""「第4類ガソリン」「受験資格なし」「5,300円」"", ""「指定危険物のみ」「丙種指定品目」のキーワード""]}]",甲種・乙種・丙種の違い｜危険物取扱者乙4,危険物取扱者免状は甲・乙・丙の3種類があり、取扱できる危険物の範囲と受験要件が異なります。乙4は第4類引火性液体（ガソリン等）向けの乙種免状で、受験者数が最も多い試験です。丙種はさらに指定品目に限定されます。,甲種は全類・受験資格あり;乙種は類ごとに試験（乙4は第4類）;丙種は指定品目のみ;手数料は甲>乙>丙の順（公式要項で確認）,丙種で第4類すべてを扱えると誤解する;甲種も受験資格不要とする;乙種1類取得で乙4も自動取得とする,「甲＝全部・資格要」「乙＝類別・乙4が主流」「丙＝指定のみ」と段階で覚える。,甲種・乙種・丙種の違い;乙種第4類;丙種危険物取扱者,甲種と乙種の最大の違いは？,甲種はすべての危険物を取り扱えますが受験資格が必要です。乙種は類ごとの試験で、乙4は第4類引火性液体が対象です。受験資格は不要です。取扱範囲と受験要件の両方で区別してください。甲種は全類・受験資格あり。,丙種は乙4と何が違いますか？,丙種は乙種第4類のうち指定された危険物に限り取扱作業ができます。乙4（乙種第4類）は第4類の引火性液体全般が対象です。丙種の方が取扱範囲が狭い点に注意してください。甲種は全類・受験資格あり。乙種は類ごとに試験（乙4は第4類）。,試験で問われやすい数値は？,"試験手数料（甲7,200円・乙5,300円・丙4,200円等）は消防試験研究センターの公式要項で確認してください。年度・改正で変わる場合があるため、数値早見表利用時も直前に再確認を。甲種は全類・受験資格あり。",乙4取得後に他類は？,乙種は類ごとに試験が分かれています。他類（第1類等）を扱うには別途その類の試験に合格する必要があります。ただし乙種免状保有者は法令・物化科目の免除があります。甲種は全類・受験資格あり。乙種は類ごとに試験（乙4は第4類）。
inka-ten-hakka-ten,引火点と発火点の違い,物性・化学,引火点;発火点;第4類;液体,引火性液体の分類・試験方法に関わる引火点と発火点の定義・測定条件の違いを整理します。,引火点;発火点,"[{""axis"": ""定義のイメージ"", ""cols"": [""可燃性蒸気が外部火源（小火炎）に接触して一時的に着火する最低温度"", ""外部火源なしで自然に着火する温度（物質が自己発火する温度）""]}, {""axis"": ""第4類との関係"", ""cols"": [""引火点による分類（特殊・第1〜4類等）の基準"", ""自然発火性の判断や第3類等との関連で出題""]}, {""axis"": ""試験での典型問題"", ""cols"": [""ガソリンの引火点（特殊引火点）や灯油・軽油の区分"", ""「引火点＝発火点」と同一視する誤答肢""]}, {""axis"": ""関連する危険性"", ""cols"": [""蒸気の着火性・換気・火気厳禁の判断"", ""蓄熱・自然発火性物質（第3類等）の管理""]}, {""axis"": ""覚え方"", ""cols"": [""「外から火を近づけたら着く温度」"", ""「火を使わなくても自分で燃え始める温度」""]}]",引火点と発火点の違い｜危険物取扱者乙4,引火点は外部火源により蒸気が着火する温度、発火点は外部火源なしで自然発火する温度です。乙4では引火点による第4類の分類が最重要ですが、発火点・自然発火との混同も頻出です。,引火点は第4類分類の基準;発火点は自然発火の判断に関連;両者を同一視しない;ガソリンは特殊引火点として扱う,引火点と発火点を同じ数値・同じ概念とする;引火点が高いほど危険と逆に覚える;自然発火性物質の引火点問題と混同する,「引火＝外の火」「発火＝自分で発火」と火源の有無で切り分ける。,引火点;発火点;引火・発火・自然発火の違い,引火点と発火点の違いは？,引火点は可燃性蒸気が外部の火源に接触して着火する最低温度です。発火点は外部火源なしで物質自体が自然発火する温度です。乙4では引火点による液体の分類が特に重要です。引火点は第4類分類の基準。発火点は自然発火の判断に関連。,ガソリンの引火点は？,ガソリンは特殊引火点として扱われ、引火点による分類表で別枠です。具体的数値は消防法別表・教科書の一次情報で確認し、暗記表と照合してください。引火点は第4類分類の基準。発火点は自然発火の判断に関連。両者を同一視しない。,試験の引っかけは？,引火点と発火点の数値や定義を入れ替える肢、引火点が高い液体ほど引火性が高いとする誤りなどが典型です。引火点による分類の用語解説も参照してください。引火点は第4類分類の基準。発火点は自然発火の判断に関連。,関連する第4類の論点は？,第4類共通性質、アルコール類・灯油・軽油の引火点区分とセットで整理すると得点しやすくなります。引火点は第4類分類の基準。発火点は自然発火の判断に関連。両者を同一視しない。ガソリンは特殊引火点として扱う。
shitei-suryo-kitei-suryo,指定数量と規定数量の違い,法令・制度,指定数量;規定数量;消防法,危険物の取扱い基準を決める指定数量と規定数量の意味・倍数計算の違いを整理します。,指定数量;規定数量,"[{""axis"": ""定義"", ""cols"": [""政令で品目ごとに定める基準数量"", ""指定数量の倍数で定められる数量（例：貯蔵上限等）""]}, {""axis"": ""用途"", ""cols"": [""届出・許可の区分、保安距離等の算定基準"", ""貯蔵所の最大貯蔵量、防火堤容量等""]}, {""axis"": ""試験での問われ方"", ""cols"": [""品目別の数値暗記（ガソリン200L等）"", ""指定数量の○倍という表現の読み取り""]}, {""axis"": ""関連手続"", ""cols"": [""指定数量以上の取扱いで届出・許可"", ""規定数量超過で設備基準・構造基準が変わる""]}, {""axis"": ""混同注意"", ""cols"": [""「指定＝規定」と同一視する誤答"", ""倍数の掛け算を逆にする""]}]",指定数量と規定数量の違い｜危険物取扱者乙4,指定数量は政令で定める基準数量、規定数量はその倍数で定まる数量です。乙4ではガソリン・灯油等の指定数量と、貯蔵所の規定数量（倍数）が頻出です。危険物の取扱い基準を決める指定数量と規定数量の意味・倍数計算の違いを整理します。試験で押さえるべき点は、指定数量は品目ごとの基準、規定数量は倍数で算定、届出・許可の区分に直結、倍数計算の誤りに注意。,指定数量は品目ごとの基準;規定数量は倍数で算定;届出・許可の区分に直結;倍数計算の誤りに注意,指定数量と規定数量を同じとする;倍数の基数を取り違える;ガソリン以外の品目数量と混同,「指定＝種類の基準量」「規定＝倍数で決まる上限」と役割で分ける。,指定数量;指定数量の倍数;危険物,指定数量とは？,危険物の規定数量等を定める政令で、品目ごとに定められた基準数量です。これを超える取扱いでは届出・許可等の要件が変わります。数値は政令・教科書で確認してください。指定数量は品目ごとの基準。規定数量は倍数で算定。,規定数量との関係は？,規定数量は指定数量の一定倍数で定められる数量です。貯蔵所の最大貯蔵量や防火堤容量の算定に使われます。倍数の掛け算を正確に行う練習が必要です。指定数量は品目ごとの基準。規定数量は倍数で算定。届出・許可の区分に直結。,試験対策は？,主要品目（ガソリン・灯油・軽油・アルコール類等）の指定数量を表にまとめ、倍数問題とセットで解く。指定数量の倍数計算の用語解説も参照してください。指定数量は品目ごとの基準。規定数量は倍数で算定。届出・許可の区分に直結。,最新数値の確認先は？,消防法・危険物の規定数量等を定める政令、消防試験研究センターの試験範囲を一次情報として確認してください。指定数量は品目ごとの基準。規定数量は倍数で算定。届出・許可の区分に直結。倍数計算の誤りに注意。「指定＝種類の基準量」「規定＝倍数で決まる上限」と役割で分ける。
mizu-shoka-awa-shoka,水消火と泡消火の使い分け,火災・消火・漏えい,水消火;泡消火;消火方法,第4類火災を中心に、水消火と泡消火の原理・適用・不適切な組み合わせを比較します。,水消火;泡消火,"[{""axis"": ""消火原理"", ""cols"": [""冷却・窒息（蒸気膜）"", ""窒息（泡膜で酸素遮断）・冷却""]}, {""axis"": ""第4類液体"", ""cols"": [""比重が大きい液体の表面火災に有効な場合あり"", ""引火性液体の表面火災の代表的手段""]}, {""axis"": ""不適切例"", ""cols"": [""金属（マグネシウム等）・禁水性物質への注水"", ""帯電性液体への不適切な泡（試験要確認）""]}, {""axis"": ""設備"", ""cols"": [""放水消火・散水設備"", ""泡消火剤・泡消火設備""]}, {""axis"": ""試験の見分け"", ""cols"": [""「金属火災に水」は誤り"", ""「引火性液体に泡」が基本正解""]}]",水消火と泡消火の使い分け｜危険物取扱者乙4,引火性液体の火災では泡消火が基本です。水消火は冷却効果が大きい一方、比重・禁水性・金属火災では適用できません。試験では消火剤と火災種別の組み合わせが問われます。,第4類液体は泡消火が基本;金属・禁水性には水消火不可;消火原理（冷却・窒息）を区別;水による消火が不適切な場合を暗記,すべての火災に水を使えるとする;引火性液体に注水消火を第一選択とする;泡消火の窒息作用を無視,「液体表面＝泡」「金属・禁水＝水禁止」と火災種別で整理。,水による消火が不適切な場合;泡消火;第4類火災の消火方法総論,引火性液体の火災は？,原則として泡消火剤による窒息消火が適切です。水のみで表面火災を消火しようとする選択肢は誤りになりやすいです。第4類液体は泡消火が基本。金属・禁水性には水消火不可。消火原理（冷却・窒息）を区別。水による消火が不適切な場合を暗記。,水消火が向かない例は？,金属火災（マグネシウム等）、禁水性物質、比重が水より小さい液体の表面火災などです。水による消火が不適切な場合の一覧表を確認してください。第4類液体は泡消火が基本。金属・禁水性には水消火不可。消火原理（冷却・窒息）を区別。,泡消火の原理は？,泡膜が空気を遮断する窒息作用と冷却作用があります。耐アルコール泡など品目によって泡の種類も異なります。第4類液体は泡消火が基本。金属・禁水性には水消火不可。消火原理（冷却・窒息）を区別。水による消火が不適切な場合を暗記。,試験対策は？,消火方法の適否を一問一答形式で繰り返し、第4類火災の消火方法総論とセットで復習してください。第4類液体は泡消火が基本。金属・禁水性には水消火不可。消火原理（冷却・窒息）を区別。水による消火が不適切な場合を暗記。
okunai-okugai-tank,屋内タンク貯蔵所と屋外タンク貯蔵所,法令・制度,タンク貯蔵所;屋内;屋外;設置基準,タンク貯蔵所の屋内・屋外区分による設置基準・防火構造・距離基準の違いを整理します。,屋内タンク貯蔵所;屋外タンク貯蔵所,"[{""axis"": ""設置場所"", ""cols"": [""建築物内（地下・屋内）"", ""建築物外の独立した区域""]}, {""axis"": ""防火・構造"", ""cols"": [""耐火・準耐火等、より厳しい構造基準"", ""防火堤・保安距離・火気距離が中心""]}, {""axis"": ""点検・管理"", ""cols"": [""換気・漏えい検知等の設備要件"", ""防火堤容量・タンクの地盤面下埋設制限等""]}, {""axis"": ""試験頻出"", ""cols"": [""地下タンク・屋内の特殊基準"", ""防火堤容量＝規定数量の1.1倍以上等""]}, {""axis"": ""見分け"", ""cols"": [""「建物内」「換気設備」"", ""「防火堤」「屋外の保安距離」""]}]",屋内タンクと屋外タンクの違い｜危険物取扱者乙4,タンク貯蔵所は屋内・屋外・地下など区分により基準が異なります。乙4では防火堤容量、保安距離、構造基準の数値と、屋内特有の換気・漏えい対策が出題されます。タンク貯蔵所の屋内・屋外区分による設置基準・防火構造・距離基準の違いを整理します。試験で押さえるべき点は、屋内は構造・換気基準が厳しい、屋外は防火堤・保安距離が重要、地下タンクは別基準、区分を誤ると数値も誤る。,屋内は構造・換気基準が厳しい;屋外は防火堤・保安距離が重要;地下タンクは別基準;区分を誤ると数値も誤る,屋内と屋外で防火堤不要と決めつける;保安距離の算定式を混同;地下タンクを屋内と同一基準とする,「屋内＝構造・換気」「屋外＝堤・距離」とキーワードで分類。,屋内タンク貯蔵所の基準;屋外タンク貯蔵所;タンク貯蔵所,屋内タンクの特徴は？,建築物内に設置され、耐火性能・換気・漏えい検知等の基準が課されます。地下タンク貯蔵所はさらに別の基準があります。屋内は構造・換気基準が厳しい。屋外は防火堤・保安距離が重要。地下タンクは別基準。区分を誤ると数値も誤る。,屋外タンクの特徴は？,防火堤内に設置し、堤内容量やタンク相互間距離・火気までの距離等が問われます。規定数量との倍数関係も確認してください。屋内は構造・換気基準が厳しい。屋外は防火堤・保安距離が重要。地下タンクは別基準。区分を誤ると数値も誤る。,試験対策は？,屋内・屋外・地下の三区分表を作成し、数値早見表と照合。タンク貯蔵所の用語解説ページも参照してください。屋内は構造・換気基準が厳しい。屋外は防火堤・保安距離が重要。地下タンクは別基準。区分を誤ると数値も誤る。,公式確認先は？,消防法施行規則・危険物の規制に関する規則等の一次情報で確認してください。屋内は構造・換気基準が厳しい。屋外は防火堤・保安距離が重要。地下タンクは別基準。区分を誤ると数値も誤る。「屋内＝構造・換気」「屋外＝堤・距離」とキーワードで分類。
todoke-kyoka,届出と許可の違い,法令・制度,届出;許可;製造所;貯蔵所,危険物の製造・取扱いに関する届出制度と許可制度の要件・効果の違いを整理します。,届出;許可,"[{""axis"": ""性質"", ""cols"": [""一定要件を満てれば書面提出で開始可能（原則）"", ""消防署長の許可を得てから開始""]}, {""axis"": ""典型例"", ""cols"": [""指定数量以上の取扱いの届出、変更届出等"", ""製造所・特定貯蔵所の設置許可""]}, {""axis"": ""取消・停止"", ""cols"": [""虚偽届出等で命令・使用停止"", ""許可取消し・使用停止命令""]}, {""axis"": ""試験"", ""cols"": [""「届出だけで製造所設置可」等の誤肢"", ""許可要否の品目・数量区分""]}, {""axis"": ""乙4重点"", ""cols"": [""指定数量倍数と手続の対応"", ""設置許可が必要な施設の特定""]}]",届出と許可の違い｜危険物取扱者乙4,危険物の取扱いでは、数量・施設の種類により届出で足りる場合と、消防署長の許可が必要な場合があります。乙4法令では指定数量と手続の対応が頻出です。危険物の製造・取扱いに関する届出制度と許可制度の要件・効果の違いを整理します。試験で押さえるべき点は、届出は原則届出で開始、許可は許可後に開始、数量・施設で区分、虚偽届出も禁止。,届出は原則届出で開始;許可は許可後に開始;数量・施設で区分;虚偽届出も禁止,すべて届出で開始できるとする;許可不要で製造所を設置できるとする;変更許可と変更届出を混同,「小さく始める＝届出」「施設新設＝許可」と規模で整理（例外あり要確認）。,届出;設置許可;変更許可,届出と許可の違いは？,届出は法定要件を満たして書面を提出すれば取扱いを開始できる制度です。許可は消防署長の許可を得るまで開始できません。対象となる数量・施設が異なります。届出は原則届出で開始。許可は許可後に開始。数量・施設で区分。,試験で問われる例は？,製造所・特定貯蔵所の設置、指定数量の倍数と手続の対応、変更届出と変更許可の区別などです。届出は原則届出で開始。許可は許可後に開始。数量・施設で区分。虚偽届出も禁止。「小さく始める＝届出」「施設新設＝許可」と規模で整理（例外あり要確認）。,違反の効果は？,届出義務違反・虚偽届出、無許可設置等は命令・取消し・罰則の対象となり得ます。保安規程との関係も確認してください。届出は原則届出で開始。許可は許可後に開始。数量・施設で区分。虚偽届出も禁止。「小さく始める＝届出」「施設新設＝許可」と規模で整理（例外あり要確認）。,最新情報はどこで確認しますか？,消防法・施行令・規則および試験要項を参照してください。届出は原則届出で開始。許可は許可後に開始。数量・施設で区分。虚偽届出も禁止。「小さく始める＝届出」「施設新設＝許可」と規模で整理（例外あり要確認）。
dai1-dai2-hikaku,第1類と第2類危険物の性質比較,物性・化学,第1類;第2類;酸化性;可燃性固体,酸化性固体（第1類）と可燃性固体（第2類）の代表品目・性質・火災特性の違いを整理します。,第1類（酸化性固体）;第2類（可燃性固体）,"[{""axis"": ""代表例"", ""cols"": [""塩素酸塩類、過塩素酸塩類、無機過酸化物等"", ""硫黄、赤りん、金属粉、マグネシウム等""]}, {""axis"": ""主な性質"", ""cols"": [""他物質を酸化しやすい（酸化性）"", ""燃えやすい固体（可燃性）""]}, {""axis"": ""火災・消火"", ""cols"": [""可燃物との混合・摩擦に注意"", ""金属火災は水消火不可の代表（Mg等）""]}, {""axis"": ""乙4との関係"", ""cols"": [""物化・性消で基礎知識として出題"", ""金属火災の消火方法は性消頻出""]}, {""axis"": ""試験"", ""cols"": [""第1類＝酸化性のキーワード"", ""第2類＝可燃性固体・金属火災""]}]",第1類と第2類の違い｜危険物取扱者乙4,第1類は酸化性固体、第2類は可燃性固体です。乙4受験者は第4類が中心ですが、全類共通の分類問題として物化・性消で出題されます。酸化性固体（第1類）と可燃性固体（第2類）の代表品目・性質・火災特性の違いを整理します。試験で押さえるべき点は、第1類は酸化性、第2類は可燃性固体、金属火災（Mg等）は水消火不適、類別表の暗記が必要。,第1類は酸化性;第2類は可燃性固体;金属火災（Mg等）は水消火不適;類別表の暗記が必要,第1類を可燃性固体とする;マグネシウム火災に水消火;類番号と代表品目の不一致,「1＝酸化」「2＝燃える固体」と番号連想で整理。,危険物の分類;危険物;水による消火が不適切な場合,第1類の特徴は？,酸化性固体で、他の可燃物と混合・摩擦・加熱により着火・爆発のおそれがあります。代表品目表を暗記してください。第1類は酸化性。第2類は可燃性固体。金属火災（Mg等）は水消火不適。類別表の暗記が必要。「1＝酸化」「2＝燃える固体」と番号連想で整理。,第2類の特徴は？,可燃性固体で、硫黄・金属粉・マグネシウム等が含まれます。金属火災の消火方法は別途整理が必要です。第1類は酸化性。第2類は可燃性固体。金属火災（Mg等）は水消火不適。類別表の暗記が必要。「1＝酸化」「2＝燃える固体」と番号連想で整理。,乙4で必要な理由は？,試験は3科目共通部分があり、類別・物性の問題が必ず出ます。第4類だけでなく全類の基礎表を確認してください。第1類は酸化性。第2類は可燃性固体。金属火災（Mg等）は水消火不適。類別表の暗記が必要。「1＝酸化」「2＝燃える固体」と番号連想で整理。,関連用語は？,危険物の分類、消防法別表第一・第二の用語解説を参照してください。第1類は酸化性。第2類は可燃性固体。金属火災（Mg等）は水消火不適。類別表の暗記が必要。「1＝酸化」「2＝燃える固体」と番号連想で整理。
idou-tank-tanklorry,移動タンク貯蔵所とタンクローリー,法令・制度,移動タンク;タンクローリー;移送,移動タンク貯蔵所とタンクローリー（タンク車）の定義・基準・取扱いの違いを整理します。,移動タンク貯蔵所;タンクローリー,"[{""axis"": ""定義"", ""cols"": [""一定期間以上同一場所に置く可移動タンクの貯蔵施設"", ""道路運送法上の自動車（タンク車）""]}, {""axis"": ""規制"", ""cols"": [""危険物の規制に関する規則上の移動タンク貯蔵所基準"", ""道路運送車法・危険物運搬規則等""]}, {""axis"": ""試験"", ""cols"": [""移送基準・指定数量倍数"", ""タンク車の表示・取扱い""]}, {""axis"": ""乙4"", ""cols"": [""ガソリン移送・貯蔵の実務と関連"", ""漏えい・静電気対策""]}, {""axis"": ""混同"", ""cols"": [""タンクローリーを移動タンク貯蔵所と同一視"", ""設置基準の適用誤り""]}]",移動タンク貯蔵所とタンクローリーの違い｜乙4,移動タンク貯蔵所は同一場所に一定期間置く可移動タンクの施設、タンクローリーは運搬用のタンク車です。法令上の区分と基準が異なります。移動タンク貯蔵所とタンクローリー（タンク車）の定義・基準・取扱いの違いを整理します。試験で押さえるべき点は、移動タンク貯蔵所は設置基準あり、タンクローリーは運搬規則、同一視しない、移送数量基準を確認。,移動タンク貯蔵所は設置基準あり;タンクローリーは運搬規則;同一視しない;移送数量基準を確認,タンク車を移動タンク貯蔵所と同一視;運搬中と貯蔵中の規制混同,「止まって置く＝移動タンク貯蔵所」「走る＝タンクローリー」。,移動タンク貯蔵所;タンクローリー;移動タンク貯蔵所による移送基準,移動タンク貯蔵所とは？,一定期間同一場所に置かれる可移動タンクの貯蔵施設です。構造・防火堤・保安距離等の基準があります。移動タンク貯蔵所は設置基準あり。タンクローリーは運搬規則。同一視しない。移送数量基準を確認。「止まって置く＝移動タンク貯蔵所」「走る＝タンクローリー」。,タンクローリーとは？,危険物を運搬するタンク付自動車です。運搬時の表示・取扱い・道路運送関連規則が適用されます。移動タンク貯蔵所は設置基準あり。タンクローリーは運搬規則。同一視しない。移送数量基準を確認。「止まって置く＝移動タンク貯蔵所」「走る＝タンクローリー」。,試験対策は？,移送基準（指定数量倍数）と施設区分を表にまとめ、移動タンク貯蔵所の用語解説で確認してください。移動タンク貯蔵所は設置基準あり。タンクローリーは運搬規則。同一視しない。移送数量基準を確認。「止まって置く＝移動タンク貯蔵所」「走る＝タンクローリー」。,漏えい時は？,漏えい対策・避難・通報の手順は性消科目と共通です。関連記事も参照してください。移動タンク貯蔵所は設置基準あり。タンクローリーは運搬規則。同一視しない。移送数量基準を確認。「止まって置く＝移動タンク貯蔵所」「走る＝タンクローリー」。
shizen-kka-hikka,自然発火と引火の違い,物性・化学,自然発火;引火;第3類,外部火源なしの自然発火と、外部火源による引火の違いを、第3類・第4類の文脈で整理します。,自然発火;引火,"[{""axis"": ""火源"", ""cols"": [""外部火源不要（自己発熱・酸化）"", ""外部火源（火花・火気）が必要""]}, {""axis"": ""代表"", ""cols"": [""第3類自然発火性物質、乾性油の取扱等"", ""第4類蒸気の引火""]}, {""axis"": ""条件"", ""cols"": [""蓄熱・酸素接触・表面積"", ""引火点以上・換気・火気""]}, {""axis"": ""試験"", ""cols"": [""「自然発火性＝引火点が低いだけ」誤り"", ""黄りん・カリウム等の取扱""]}, {""axis"": ""対策"", ""cols"": [""温度管理・不活性化・禁水"", ""火気厳禁・換気・接地""]}]",自然発火と引火の違い｜危険物取扱者乙4,自然発火は外部火源なしで発火する現象、引火は外部火源により着火することです。第3類の自然発火性物質と第4類の引火性液体で問われ方が異なります。外部火源なしの自然発火と、外部火源による引火の違いを、第3類・第4類の文脈で整理します。試験で押さえるべき点は、自然発火は外部火源不要、引火は外部火源必要、第3類と第4類で代表例が異なる、引火・発火・自然発火の用語セット。,自然発火は外部火源不要;引火は外部火源必要;第3類と第4類で代表例が異なる;引火・発火・自然発火の用語セット,自然発火と引火を同一視;乾性油の自然発火を引火点問題と混同,「自然＝自分で」「引火＝外の火」と火源の有無で整理。,自然発火;引火・発火・自然発火の違い;自然発火性物質,自然発火とは？,外部火源なしで物質が自己発熱し、着火に至る現象です。第3類自然発火性物質や乾性油の取扱が代表例です。自然発火は外部火源不要。引火は外部火源必要。第3類と第4類で代表例が異なる。引火・発火・自然発火の用語セット。,引火とはについて教えてください,外部の火源により可燃性蒸気等が着火することです。第4類引火性液体では引火点が基準となります。自然発火は外部火源不要。引火は外部火源必要。第3類と第4類で代表例が異なる。引火・発火・自然発火の用語セット。,試験の引っかけは？,自然発火性物質に単に水を注ぐ、引火点だけで自然発火を説明する等の誤肢に注意してください。自然発火は外部火源不要。引火は外部火源必要。第3類と第4類で代表例が異なる。引火・発火・自然発火の用語セット。「自然＝自分で」「引火＝外の火」と火源の有無で整理。,関連する試験論点は？,禁水性物質、第3類の取扱、火災予防の用語解説とセットで復習してください。自然発火は外部火源不要。引火は外部火源必要。第3類と第4類で代表例が異なる。引火・発火・自然発火の用語セット。「自然＝自分で」「引火＝外の火」と火源の有無で整理。
funmatsu-co2,粉末消火と二酸化炭素消火の適用,火災・消火・漏えい,粉末消火;二酸化炭素;消火剤,粉末消火剤と二酸化炭素消火の消火原理・適用火災・注意点の違いを整理します。,粉末消火;二酸化炭素消火,"[{""axis"": ""原理"", ""cols"": [""負触媒・窒息・冷却（粉末）"", ""窒息（酸素濃度低下）・冷却""]}, {""axis"": ""適用"", ""cols"": [""ABC火災・金属火災以外の広範囲（品目注意）"", ""電気火災・精密機器・液体ガス等""]}, {""axis"": ""注意"", ""cols"": [""視界不良・再燃のおそれ・清掃"", ""密閉空間では人の窒息危险""]}, {""axis"": ""第4類"", ""cols"": [""表面火災に使用される場合あり"", ""小規模・設備内の火災に有効な場合""]}, {""axis"": ""試験"", ""cols"": [""「金属火災に粉末」等の適否"", ""「密閉室でCO2消火安全」誤り""]}]",粉末消火と二酸化炭素消火の違い｜乙4,粉末消火は負触媒・窒息作用、二酸化炭素消火は主に窒息作用です。電気火災・第4類・金属火災など、適用可否の組み合わせ問題が頻出です。粉末消火剤と二酸化炭素消火の消火原理・適用火災・注意点の違いを整理します。試験で押さえるべき点は、粉末は負触媒・窒息、CO2は窒息が主、密閉空間のCO2使用は人的危险、金属火災の消火剤選択に注意。,粉末は負触媒・窒息;CO2は窒息が主;密閉空間のCO2使用は人的危险;金属火災の消火剤選択に注意,すべての火災に粉末が最適とする;密閉空間でCO2消火を無条件に正とする;金属火災の消火剤を混同,「電気・精密＝CO2」「広範囲＝粉末（適否要確認）」と用途で整理。,粉末消火;二酸化炭素消火;泡・二酸化炭素・粉末消火剤の基本作用,粉末消火の特徴は？,粉末が化学的抑制作用（負触媒）と窒息・冷却効果を持ちます。適用できない火災・再燃リスクも確認してください。粉末は負触媒・窒息。CO2は窒息が主。密閉空間のCO2使用は人的危险。金属火災の消火剤選択に注意。,二酸化炭素消火の特徴は？,酸素濃度を下げて消火します。電気火災等に有効ですが、密閉空間では人の窒息に注意が必要です。粉末は負触媒・窒息。CO2は窒息が主。密閉空間のCO2使用は人的危险。金属火災の消火剤選択に注意。「電気・精密＝CO2」「広範囲＝粉末（適否要確認）」と用途で整理。,試験対策は？,泡・二酸化炭素・粉末消火剤の適用表を作成し、第4類火災の消火方法総論と照合してください。粉末は負触媒・窒息。CO2は窒息が主。密閉空間のCO2使用は人的危险。金属火災の消火剤選択に注意。「電気・精密＝CO2」「広範囲＝粉末（適否要確認）」と用途で整理。,漏えい火災では何に注意しますか？,消火と同時に漏えい対策・通報・避難が必要です。関連用語も確認してください。粉末は負触媒・窒息。CO2は窒息が主。密閉空間のCO2使用は人的危险。金属火災の消火剤選択に注意。「電気・精密＝CO2」「広範囲＝粉末（適否要確認）」と用途で整理。
