question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation,explanation_choices,explanation_correct,explanation_summary,explanation_point,explanation_mode
1,single,法令・制度,L-001;LAW-001;危険物の定義;消防法上の危険物の定義;基礎;網羅,消防法上の危険物について、正しいものはどれか。,,,,,,消防法別表第一の品名欄に掲げる物品で、同表に定める区分に応じた性状を有するものをいう。,消防法上の危険物とは、毒性があるすべての物質をいう。,消防法上の危険物とは、液体の可燃物だけをいう。,消防法上の危険物とは、火災時に煙を出す物質をいう。,消防法上の危険物とは、すべての可燃物をいう。,1,"消防法上の危険物は、消防法別表第一の品名欄に掲げる物品で、同表の区分に応じた性状を有するものをいう。すべての可燃物や液体可燃物が危険物になるわけではない。

【試験ポイント】危険物は消防法別表第一を基準に判断する。

【ひっかけ】可燃物すべてが危険物ではない。

【選択肢ア】正しい。消防法別表第一の品名欄と性質欄に掲げる性状が判断基準になる。

【選択肢イ】誤り。毒性の有無だけで消防法上の危険物になるわけではない。

【選択肢ウ】誤り。危険物は第1類から第6類まであり、液体の可燃物だけではない。

【選択肢エ】誤り。煙を出すかどうかは消防法上の危険物の定義ではない。

【選択肢オ】誤り。すべての可燃物が消防法上の危険物に該当するわけではない。",2:誤り。毒性の有無だけで消防法上の危険物になるわけではない。;3:誤り。危険物は第1類から第6類まであり、液体の可燃物だけではない。;4:誤り。煙を出すかどうかは消防法上の危険物の定義ではない。;5:誤り。すべての可燃物が消防法上の危険物に該当するわけではない。,消防法上の危険物は、消防法別表第一の品名欄に掲げる物品で、同表の区分に応じた性状を有するものをいう。すべての可燃物や液体可燃物が危険物になるわけではない。 正しい。消防法別表第一の品名欄と性質欄に掲げる性状が判断基準になる。,消防法上の危険物は、消防法別表第一の品名欄に掲げる物品で、同表の区分に応じた性状を有するものをいう。,危険物は消防法別表第一を基準に判断する。 可燃物すべてが危険物ではない。,
2,single,法令・制度,L-002;LAW-003;第4類危険物;第4類危険物の位置づけ;基礎;網羅,乙種第4類で主に対象となる危険物として、正しいものはどれか。,,,,,,可燃性固体,酸化性固体,酸化性液体,自然発火性物質及び禁水性物質,引火性液体,5,"乙種第4類は第4類危険物を対象とし、第4類危険物は引火性液体である。

【試験ポイント】乙4は第4類危険物、すなわち引火性液体を扱う。

【ひっかけ】第1類から第6類の性質を混同しない。

【選択肢ア】誤り。可燃性固体は第2類危険物である。

【選択肢イ】誤り。酸化性固体は第1類危険物である。

【選択肢ウ】誤り。酸化性液体は第6類危険物である。

【選択肢エ】誤り。自然発火性物質及び禁水性物質は第3類危険物である。

【選択肢オ】正しい。第4類危険物は引火性液体である。",1:誤り。可燃性固体は第2類危険物である。;2:誤り。酸化性固体は第1類危険物である。;3:誤り。酸化性液体は第6類危険物である。;4:誤り。自然発火性物質及び禁水性物質は第3類危険物である。,乙種第4類は第4類危険物を対象とし、第4類危険物は引火性液体である。 正しい。第4類危険物は引火性液体である。,乙種第4類は第4類危険物を対象とし、第4類危険物は引火性液体である。,乙4は第4類危険物、すなわち引火性液体を扱う。 第1類から第6類の性質を混同しない。,
3,single,法令・制度,L-003;LAW-004;指定数量;指定数量の意味;基礎;重点,指定数量の説明として、正しいものはどれか。,,,,,,危険物を安全に貯蔵できる任意の数量である。,すべての危険物に共通して一律に定められる数量である。,危険物の危険性を判断する基準として、政令で定められる数量である。,市町村ごとに自由に定められる数量である。,危険物取扱者が1日に取り扱える最大数量である。,3,"指定数量は、危険物の危険性に応じて政令で定められる基準数量である。すべての危険物に同じ数量が定められているわけではない。

【試験ポイント】指定数量は危険物ごとに定められる。

【ひっかけ】指定数量を『安全に保管できる最大量』と混同しない。

【選択肢ア】誤り。任意に決める数量ではない。

【選択肢イ】誤り。危険物の種類や性質によって指定数量は異なる。

【選択肢ウ】正しい。指定数量は危険物の危険性に応じて政令で定められる。

【選択肢エ】誤り。市町村が自由に定めるものではない。

【選択肢オ】誤り。1日に取り扱える最大数量ではない。",1:誤り。任意に決める数量ではない。;2:誤り。危険物の種類や性質によって指定数量は異なる。;4:誤り。市町村が自由に定めるものではない。;5:誤り。1日に取り扱える最大数量ではない。,指定数量は、危険物の危険性に応じて政令で定められる基準数量である。すべての危険物に同じ数量が定められているわけではない。 正しい。指定数量は危険物の危険性に応じて政令で定められる。,指定数量は、危険物の危険性に応じて政令で定められる基準数量である。,指定数量は危険物ごとに定められる。 指定数量を『安全に保管できる最大量』と混同しない。,
4,single,法令・制度,L-004;LAW-023;危険物取扱者;甲種・乙種・丙種の違い;基礎;重点,乙種危険物取扱者について、正しいものはどれか。,,,,,,免状を取得しても危険物の取扱いはできない。,丙種危険物取扱者の立会いがなければ危険物を取り扱えない。,危険物の運搬だけに限定して従事できる資格である。,すべての類の危険物を無条件で取り扱うことができる。,免状に指定された類の危険物について、取扱いまたは立会いができる。,5,"乙種危険物取扱者は、免状に指定された類の危険物について取扱いおよび立会いができる。乙4であれば第4類危険物が対象である。

【試験ポイント】乙種は取得した類の危険物を扱える。

【ひっかけ】甲種のように全類を扱えるわけではない。

【選択肢ア】誤り。免状に応じた危険物の取扱いができる。

【選択肢イ】誤り。丙種危険物取扱者の立会いを必要とする制度ではない。

【選択肢ウ】誤り。運搬だけに限定された資格ではない。

【選択肢エ】誤り。乙種は免状に指定された類に限られる。

【選択肢オ】正しい。乙種は指定された類の取扱いと立会いができる。",1:誤り。免状に応じた危険物の取扱いができる。;2:誤り。丙種危険物取扱者の立会いを必要とする制度ではない。;3:誤り。運搬だけに限定された資格ではない。;4:誤り。乙種は免状に指定された類に限られる。,乙種危険物取扱者は、免状に指定された類の危険物について取扱いおよび立会いができる。乙4であれば第4類危険物が対象である。 正しい。乙種は指定された類の取扱いと立会いができる。,乙種危険物取扱者は、免状に指定された類の危険物について取扱いおよび立会いができる。,乙種は取得した類の危険物を扱える。 甲種のように全類を扱えるわけではない。,
5,single,法令・制度,L-005;LAW-055;運搬;運搬容器・収納・積載方法;標準;重点,危険物の運搬について、適切でないものはどれか。,,,,,,危険物は、任意の容器に収納しても、表示があれば運搬できる。,運搬中は、危険物の漏れや転倒を防止する必要がある。,運搬時には、火気や衝撃に注意する必要がある。,危険物を運搬する場合は、容器や積載方法に注意する必要がある。,危険物の性質によっては、混載に注意する必要がある。,1,"危険物の運搬では、容器、収納、積載方法などに基準がある。表示があれば任意の容器で運搬できるわけではない。

【試験ポイント】運搬では容器・収納・積載・表示が重要。

【ひっかけ】表示があれば容器基準を満たさなくてもよい、という理解は誤り。

【選択肢ア】適切でない。任意の容器でよいわけではなく、運搬容器等の基準がある。

【選択肢イ】適切。漏れや転倒を防止する必要がある。

【選択肢ウ】適切。火気や衝撃への注意は必要である。

【選択肢エ】適切。容器や積載方法への注意は必要である。

【選択肢オ】適切。性質によっては混載に注意が必要である。",2:適切。漏れや転倒を防止する必要がある。;3:適切。火気や衝撃への注意は必要である。;4:適切。容器や積載方法への注意は必要である。;5:適切。性質によっては混載に注意が必要である。,危険物の運搬では、容器、収納、積載方法などに基準がある。表示があれば任意の容器で運搬できるわけではない。 適切でない。任意の容器でよいわけではなく、運搬容器等の基準がある。,危険物の運搬では、容器、収納、積載方法などに基準がある。,運搬では容器・収納・積載・表示が重要。 表示があれば容器基準を満たさなくてもよい、という理解は誤り。,
6,single,物性・化学,PC-001;PC-001;燃焼;燃焼の三要素;基礎;重点,燃焼が起こるために必要な三要素の組合せとして、正しいものはどれか。,,,,,,熱・水・二酸化炭素,可燃物・酸素供給源・点火源,酸素・窒素・水蒸気,可燃物・水・窒素,水・酸素・二酸化炭素,2,"燃焼には、可燃物、酸素供給源、点火源が必要である。消火では、これらのいずれかを取り除くことが基本になる。

【試験ポイント】燃焼の三要素は可燃物・酸素供給源・点火源。

【ひっかけ】熱や酸素だけでは燃焼は成立しない。

【選択肢ア】誤り。熱だけではなく、可燃物と酸素供給源も必要である。

【選択肢イ】正しい。燃焼の三要素である。

【選択肢ウ】誤り。酸素だけでは燃焼は成立しない。

【選択肢エ】誤り。水と窒素は燃焼を成立させる要素ではない。

【選択肢オ】誤り。水と二酸化炭素は燃焼の三要素ではない。",1:誤り。熱だけではなく、可燃物と酸素供給源も必要である。;3:誤り。酸素だけでは燃焼は成立しない。;4:誤り。水と窒素は燃焼を成立させる要素ではない。;5:誤り。水と二酸化炭素は燃焼の三要素ではない。,燃焼には、可燃物、酸素供給源、点火源が必要である。消火では、これらのいずれかを取り除くことが基本になる。 正しい。燃焼の三要素である。,燃焼には、可燃物、酸素供給源、点火源が必要である。,燃焼の三要素は可燃物・酸素供給源・点火源。 熱や酸素だけでは燃焼は成立しない。,
7,single,物性・化学,PC-002;PC-003;燃焼;完全燃焼と不完全燃焼;基礎;重点,不完全燃焼について、正しいものはどれか。,,,,,,可燃物がまったく存在しない状態で起こる。,液体では起こらず、固体だけで起こる。,酸素が十分にあるときだけ起こる燃焼である。,二酸化炭素だけを発生する燃焼である。,酸素が不足しているときに起こりやすく、一酸化炭素などを発生することがある。,5,"不完全燃焼は酸素不足の状態で起こりやすく、一酸化炭素やすすを生じることがある。一酸化炭素は有毒である。

【試験ポイント】酸素不足では不完全燃焼が起こりやすい。

【ひっかけ】二酸化炭素だけを生じるとは限らない。

【選択肢ア】誤り。燃焼には可燃物が必要である。

【選択肢イ】誤り。固体だけでなく、燃焼条件によって起こり得る。

【選択肢ウ】誤り。酸素が十分な場合は完全燃焼しやすい。

【選択肢エ】誤り。不完全燃焼では一酸化炭素やすすを生じることがある。

【選択肢オ】正しい。不完全燃焼の説明として妥当である。",1:誤り。燃焼には可燃物が必要である。;2:誤り。固体だけでなく、燃焼条件によって起こり得る。;3:誤り。酸素が十分な場合は完全燃焼しやすい。;4:誤り。不完全燃焼では一酸化炭素やすすを生じることがある。,不完全燃焼は酸素不足の状態で起こりやすく、一酸化炭素やすすを生じることがある。一酸化炭素は有毒である。 正しい。不完全燃焼の説明として妥当である。,不完全燃焼は酸素不足の状態で起こりやすく、一酸化炭素やすすを生じることがある。,酸素不足では不完全燃焼が起こりやすい。 二酸化炭素だけを生じるとは限らない。,
8,single,物性・化学,PC-003;PC-012;消火;窒息消火;基礎;重点,窒息消火の説明として、正しいものはどれか。,,,,,,静電気を発生させて燃焼を止める方法である。,温度を発火点以下に下げて燃焼を止める方法である。,可燃物を取り除いて燃焼を止める方法である。,酸素の供給を断って燃焼を止める方法である。,可燃性蒸気を増やして燃焼を止める方法である。,4,"窒息消火は、酸素の供給を断つことで燃焼を止める方法である。泡消火剤や二酸化炭素消火剤は窒息効果を利用する。

【試験ポイント】窒息消火は酸素供給を断つ。

【ひっかけ】除去消火・冷却消火との違いを区別する。

【選択肢ア】誤り。静電気は着火源となる危険がある。

【選択肢イ】誤り。温度を下げる方法は冷却消火である。

【選択肢ウ】誤り。可燃物を取り除く方法は除去消火である。

【選択肢エ】正しい。酸素供給を断つのが窒息消火である。

【選択肢オ】誤り。可燃性蒸気を増やすことは危険を高める。",1:誤り。静電気は着火源となる危険がある。;2:誤り。温度を下げる方法は冷却消火である。;3:誤り。可燃物を取り除く方法は除去消火である。;5:誤り。可燃性蒸気を増やすことは危険を高める。,窒息消火は、酸素の供給を断つことで燃焼を止める方法である。泡消火剤や二酸化炭素消火剤は窒息効果を利用する。 正しい。酸素供給を断つのが窒息消火である。,窒息消火は、酸素の供給を断つことで燃焼を止める方法である。,窒息消火は酸素供給を断つ。 除去消火・冷却消火との違いを区別する。,
9,single,物性・化学,PC-004;PC-026;物質の状態;蒸気圧;標準;重点,蒸気圧について、正しいものはどれか。,,,,,,蒸気圧は、どの液体でも常に同じである。,蒸気圧は、液体の色だけで決まる。,蒸気圧が高い液体は、絶対に引火しない。,蒸気圧が高い液体ほど、一般に蒸発しにくい。,蒸気圧が高い液体ほど、一般に蒸発しやすい。,5,"蒸気圧が高い液体は、一般に蒸発しやすく、可燃性蒸気を発生しやすい。引火性液体の危険性を理解するうえで重要である。

【試験ポイント】蒸気圧が高いほど蒸発しやすい。

【ひっかけ】蒸気圧が高い＝安全、ではない。

【選択肢ア】誤り。蒸気圧は物質や温度によって異なる。

【選択肢イ】誤り。蒸気圧は液体の色だけで決まるものではない。

【選択肢ウ】誤り。蒸気圧が高い液体は可燃性蒸気を発生しやすい場合がある。

【選択肢エ】誤り。蒸気圧が高い液体は蒸発しやすい。

【選択肢オ】正しい。蒸気圧が高いほど一般に蒸発しやすい。",1:誤り。蒸気圧は物質や温度によって異なる。;2:誤り。蒸気圧は液体の色だけで決まるものではない。;3:誤り。蒸気圧が高い液体は可燃性蒸気を発生しやすい場合がある。;4:誤り。蒸気圧が高い液体は蒸発しやすい。,蒸気圧が高い液体は、一般に蒸発しやすく、可燃性蒸気を発生しやすい。引火性液体の危険性を理解するうえで重要である。 正しい。蒸気圧が高いほど一般に蒸発しやすい。,蒸気圧が高い液体は、一般に蒸発しやすく、可燃性蒸気を発生しやすい。,蒸気圧が高いほど蒸発しやすい。 蒸気圧が高い＝安全、ではない。,
10,single,物性・化学,PC-005;PC-035;静電気;静電気対策・接地;標準;重点,静電気による災害を防ぐ方法として、最も適切なものはどれか。,,,,,,金属容器を絶縁したまま使用する。,容器や配管を接地する。,液体をできるだけ激しくかき混ぜる。,乾燥した場所で高速に流動させる。,可燃性蒸気を密閉空間にためる。,2,"静電気は可燃性蒸気への着火源になる。接地により電荷を逃がすことは、静電気対策として重要である。

【試験ポイント】静電気対策では接地が重要。

【ひっかけ】乾燥・高速流動・摩擦は帯電を助長する。

【選択肢ア】誤り。絶縁したままでは電荷を逃がしにくい。

【選択肢イ】正しい。接地は静電気対策として有効である。

【選択肢ウ】誤り。激しいかくはんは静電気発生の危険を高めることがある。

【選択肢エ】誤り。乾燥や高速流動は帯電しやすい条件である。

【選択肢オ】誤り。可燃性蒸気をためることは引火危険を高める。",1:誤り。絶縁したままでは電荷を逃がしにくい。;3:誤り。激しいかくはんは静電気発生の危険を高めることがある。;4:誤り。乾燥や高速流動は帯電しやすい条件である。;5:誤り。可燃性蒸気をためることは引火危険を高める。,静電気は可燃性蒸気への着火源になる。接地により電荷を逃がすことは、静電気対策として重要である。 正しい。接地は静電気対策として有効である。,静電気は可燃性蒸気への着火源になる。,静電気対策では接地が重要。 乾燥・高速流動・摩擦は帯電を助長する。,
